City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
109,Cape Town,-33.9258,18.4232,77.41,33,0,12.66,ZA,2022-06-29 11:51:04
110,Pangody,65.85,74.4859,57.36,44,39,18.61,RU,2022-06-29 11:51:30
111,Pokosnoye,55.5258,101.0536,70.16,59,99,6.46,RU,2022-06-29 11:51:31
112,Chanute,37.6792,-95.4572,62.82,88,0,5.75,US,2022-06-29 11:50:42
113,Norman Wells,65.282,-126.8329,55.44,82,20,5.75,CA,2022-06-29 11:51:31
114,Pakxe,15.1167,105.7833,82.56,80,95,3.74,LA,2022-06-29 11:51:31
115,Kaitangata,-46.2817,169.8464,40.87,92,33,5.88,NZ,2022-06-29 11:51:32
116,Marsh Harbour,26.5412,-77.0636,80.85,80,100,19.82,BS,2022-06-29 11:51:32
117,Barrow,71.2906,-156.7887,51.82,71,100,20.71,US,2022-06-29 11:51:32
118,Ponta Do Sol,32.6667,-17.1,75.7,62,7,3.31,PT,2022-06-29 11:51:32
119,Batagay,67.6333,134.6333,53.37,56,71,7.38,RU,2022-06-29 11:51:33
120,Zhigansk,66.7697,123.3711,54.72,50,100,2.01,RU,2022-06-29 11:51:33
121,Musetesti,45.15,23.4667,87.76,31,0,5.14,RO,2022-06-29 11:51:33
122,Ilulissat,69.2167,-51.1,39.56,80,100,12.88,GL,2022-06-29 11:51:34
123,Cerrito,6.8432,-72.694,54.12,89,98,2.95,CO,2022-06-29 11:51:34
124,Mbale,1.0821,34.175,76.12,64,33,1.77,UG,2022-06-29 11:51:34
125,Tezu,27.9167,96.1667,76.98,95,98,1.5,IN,2022-06-29 11:51:35
126,Airai,-8.9266,125.4092,59.49,97,100,2.04,TL,2022-06-29 11:51:35
127,Estevan,49.1334,-102.9842,59.34,88,100,6.91,CA,2022-06-29 11:51:35
128,Okha,53.5739,142.9478,48.09,87,12,6.42,RU,2022-06-29 11:51:36
129,Coihaique,-45.5752,-72.0662,34.41,93,20,3.44,CL,2022-06-29 11:51:36
130,Sao Jose Da Coroa Grande,-8.8978,-35.1478,77.05,80,76,12.41,BR,2022-06-29 11:51:36
131,Lebu,-37.6167,-73.65,53.8,95,100,10.09,CL,2022-06-29 11:51:37
132,Cloquet,46.7216,-92.4594,53.67,94,6,2.44,US,2022-06-29 11:51:37
133,Kutum,14.2,24.6667,83.68,32,93,8.3,SD,2022-06-29 11:51:37
134,Mount Isa,-20.7333,139.5,60.57,55,75,12.66,AU,2022-06-29 11:51:38
